time_step,fair_value,bid_price,ask_price,spread,order_type,trade_executed,trade_size,starting_inventory,ending_inventory,inventory,starting_cash,ending_cash,cash,pnl
142,100.2354206151319,98.3354206151319,100.3354206151319,2.0,buy,True,1,9,8,8,-846.1205622731532,-745.7851416580213,-745.7851416580213,56.0982232630339
143,99.86325190524862,98.06325190524862,100.06325190524862,2.0,none,False,0,8,8,8,-745.7851416580213,-745.7851416580213,-745.7851416580213,53.12087358396764
144,100.30276043127651,98.50276043127651,100.50276043127651,2.0,buy,True,1,8,7,7,-745.7851416580213,-645.2823812267447,-645.2823812267447,56.83694179219083
145,100.11954624851495,98.41954624851495,100.41954624851495,2.0,buy,True,1,7,6,6,-645.2823812267447,-544.8628349782298,-544.8628349782298,55.85444251285992
146,99.37412184663326,97.77412184663326,99.77412184663326,2.0,sell,True,1,6,7,7,-544.8628349782298,-642.6369568248631,-642.6369568248631,52.98189610156976
147,99.72875773717873,98.02875773717872,100.02875773717872,2.0,none,False,0,7,7,7,-642.6369568248631,-642.6369568248631,-642.6369568248631,55.46434733538797
148,99.95978756908148,98.25978756908148,100.25978756908148,2.0,sell,True,1,7,8,8,-642.6369568248631,-740.8967443939446,-740.8967443939446,58.7815561587073
149,98.96059944847606,97.16059944847606,99.16059944847606,2.0,buy,True,1,8,7,7,-740.8967443939446,-641.7361449454685,-641.7361449454685,50.98805119386395
150,99.12056901086743,97.42056901086742,99.42056901086742,2.0,buy,True,1,7,6,6,-641.7361449454685,-542.315575934601,-542.315575934601,52.40783813060352
151,99.00488860947704,97.40488860947704,99.40488860947704,2.0,buy,True,1,6,5,5,-542.315575934601,-442.910687325124,-442.910687325124,52.113755722261146
152,99.80725026113355,98.30725026113355,100.30725026113355,2.0,none,False,0,5,5,5,-442.910687325124,-442.910687325124,-442.910687325124,56.125563980543745
153,99.14663305352965,97.64663305352965,99.64663305352965,2.0,sell,True,1,5,6,6,-442.910687325124,-540.5573203786537,-540.5573203786537,54.3224779425243
154,99.41251476506125,97.81251476506125,99.81251476506125,2.0,sell,True,1,6,7,7,-540.5573203786537,-638.3698351437149,-638.3698351437149,57.517768211713815
155,99.91479104014272,98.21479104014271,100.21479104014271,2.0,buy,True,1,7,6,6,-638.3698351437149,-538.1550441035722,-538.1550441035722,61.333702137284035
156,99.31305090559587,97.71305090559588,99.71305090559588,2.0,buy,True,1,6,5,5,-538.1550441035722,-438.44199319797633,-438.44199319797633,58.12326133000306
157,99.26332359403348,97.76332359403348,99.76332359403348,2.0,none,False,0,5,5,5,-438.44199319797633,-438.44199319797633,-438.44199319797633,57.874624772191055
158,98.40898005240261,96.90898005240261,98.90898005240261,2.0,sell,True,1,5,6,6,-438.44199319797633,-535.350973250379,-535.350973250379,55.102907064036685
159,97.79785052588203,96.19785052588203,98.19785052588203,2.0,buy,True,1,6,5,5,-535.350973250379,-437.15312272449694,-437.15312272449694,51.83612990491321
160,97.28581940503891,95.78581940503891,97.78581940503891,2.0,buy,True,1,5,4,4,-437.15312272449694,-339.367303319458,-339.367303319458,49.77597430069761
161,97.78774835827585,96.38774835827584,98.38774835827584,2.0,none,False,0,4,4,4,-339.367303319458,-339.367303319458,-339.367303319458,51.78369011364538
162,97.00092295140293,95.60092295140292,97.60092295140292,2.0,buy,True,1,4,3,3,-339.367303319458,-241.76638036805508,-241.76638036805508,49.236388486153714
163,97.916855035962,96.616855035962,98.616855035962,2.0,buy,True,1,3,2,2,-241.76638036805508,-143.14952533209308,-143.14952533209308,52.684184739830926
164,97.41525159528194,96.21525159528194,98.21525159528194,2.0,none,False,0,2,2,2,-143.14952533209308,-143.14952533209308,-143.14952533209308,51.68097785847081
165,97.32817524622229,96.12817524622228,98.12817524622228,2.0,none,False,0,2,2,2,-143.14952533209308,-143.14952533209308,-143.14952533209308,51.5068251603515
166,97.66333071139499,96.46333071139499,98.46333071139499,2.0,none,False,0,2,2,2,-143.14952533209308,-143.14952533209308,-143.14952533209308,52.177136090696905
167,97.85423534833383,96.65423534833383,98.65423534833383,2.0,none,False,0,2,2,2,-143.14952533209308,-143.14952533209308,-143.14952533209308,52.55894536457458
168,98.6370871999547,97.4370871999547,99.4370871999547,2.0,sell,True,1,2,3,3,-143.14952533209308,-240.58661253204778,-240.58661253204778,55.32464906781635
169,98.64664352960351,97.34664352960351,99.34664352960351,2.0,none,False,0,3,3,3,-240.58661253204778,-240.58661253204778,-240.58661253204778,55.35331805676273
170,98.74238743082516,97.44238743082516,99.44238743082516,2.0,none,False,0,3,3,3,-240.58661253204778,-240.58661253204778,-240.58661253204778,55.64054976042772
171,99.22969831514433,97.92969831514434,99.92969831514434,2.0,buy,True,1,3,2,2,-240.58661253204778,-140.65691421690343,-140.65691421690343,57.802482413385235
172,98.72417779016365,97.52417779016365,99.52417779016365,2.0,sell,True,1,2,3,3,-140.65691421690343,-238.1810920070671,-238.1810920070671,57.99144136342386
173,98.76677741581962,97.46677741581962,99.46677741581962,2.0,buy,True,1,3,2,2,-238.1810920070671,-138.71431459124747,-138.71431459124747,58.819240240391764
174,97.92174412354909,96.72174412354909,98.72174412354909,2.0,buy,True,1,2,1,1,-138.71431459124747,-39.992570467698386,-39.992570467698386,57.929173655850704
175,97.56116326038662,96.46116326038663,98.46116326038663,2.0,buy,True,1,1,0,0,-39.992570467698386,58.46859279268824,58.46859279268824,58.46859279268824
